
ANOMALY tick: +10@2015.04.01.15.39.35
138.37.36.145->138.37.36.129: 0.0 (-5.0)
138.37.36.5->138.37.36.109: 0.0 (-1.0)
138.37.36.5->138.37.36.27: 0.0 (-1.0)
138.37.36.66->138.37.36.130: 1.0 (1.0)
138.37.36.24->138.37.36.130: 13.0 (13.0)
138.37.36.130->138.37.36.99: 0.0 (-15.0)
138.37.36.180->138.37.36.9: 1.0 (1.0)
138.37.36.108->138.37.37.137: 34.0 (34.0)
138.37.36.33->138.37.37.131: 2.0 (2.0)
138.37.36.173->138.37.36.97: 0.0 (-1.0)

ANOMALY tick: +12@2015.04.01.15.39.55
138.37.36.248->138.37.37.194: 121.0 (-27.0)
138.37.36.248->138.37.37.196: 0.0 (-1.0)
138.37.36.248->138.37.36.38: 3.0 (3.0)
138.37.37.238->138.37.36.175: 10.0 (10.0)
138.37.37.238->138.37.36.111: 3.0 (2.0)
138.37.37.238->138.37.36.206: 0.0 (-2.0)
138.37.37.238->74.125.133.94: 0.0 (-14.0)
138.37.37.238->138.37.36.32: 10.0 (10.0)
138.37.37.238->138.37.36.133: 6.0 (6.0)
138.37.37.238->138.37.36.211: 1.0 (-2.0)
138.37.37.238->138.37.36.105: 1.0 (-1.0)
138.37.37.238->138.37.36.122: 17.0 (17.0)
138.37.37.238->138.37.36.25: 0.0 (-2.0)
138.37.37.238->138.37.36.153: 26.0 (10.0)
138.37.37.238->138.37.36.107: 0.0 (-2.0)
138.37.37.238->138.37.36.154: 20.0 (20.0)
138.37.37.238->138.37.36.145: 3.0 (1.0)
138.37.37.238->138.37.36.140: 0.0 (-5.0)
138.37.37.238->138.37.36.109: 0.0 (-5.0)
138.37.37.238->138.37.36.27: 6.0 (6.0)
138.37.37.238->138.37.36.97: 0.0 (-1.0)
138.37.36.175->138.37.37.142: 1.0 (1.0)
138.37.36.111->138.37.37.72: 0.0 (-1.0)
138.37.37.196->138.37.36.16: 1.0 (1.0)
